,1,2,3,4,5,E,SD,
RMSE,32.0606,28.1851,25.9483,33.5346,32.4971,30.4451,2.88773,
R^2,0.244314,0.293032,0.250561,0.246632,0.258238,0.258556,0.0178754,
W[0],0.337529,0.32263,0.278691,0.287995,0.249857,0.29534,0.031383,
W[1],-0.123239,-0.15803,-0.126573,-0.117918,-0.147869,-0.134726,0.0154709,
W[2],-0.71202,0.576684,-0.134944,0.492911,0.239604,0.0924472,0.472311,
W[3],-0.119202,-0.0755464,0.720041,0.163938,0.115184,0.160883,0.2997,
W[4],1.25747,0.819225,0.929518,1.05306,0.612137,0.934281,0.217068,
W[5],0.0069896,0.101697,-0.0447147,-0.00635346,0.0406527,0.0196541,0.0492992,
W[6],0.673474,0.211054,0.45949,-0.101913,0.94699,0.437819,0.362765,
W[7],-0.00402871,0.0651357,0.102605,0.00380356,-0.0680313,0.0198969,0.0590763,
W[8],-0.654676,-1.10454,-0.777385,-0.982696,-1.19323,-0.942505,0.200421,
W[9],0.0262282,0.0809345,-0.850481,-0.220386,-0.25521,-0.243783,0.330789,
W[10],-0.0746697,-0.0632413,0.131644,-0.0668866,0.204055,0.0261803,0.117975,
W[11],0.0231958,-0.217687,0.0731718,0.00150324,0.0753439,-0.00889452,0.108225,
W[12],0.199898,0.34372,-0.184664,0.208212,-0.586751,-0.003917,0.340516,
W[13],13.6771,13.5979,13.1354,13.5662,13.1534,13.426,0.232839,
W[14],-0.186416,-0.382721,0.223543,-0.299001,0.59104,-0.010711,0.365883,
W[15],0.373877,0.247687,0.449677,0.257874,0.304768,0.326777,0.0759079,
W[16],0.790764,0.811338,0.635015,0.796439,0.680431,0.742798,0.0712497,
W[17],0.00171161,0.000793692,0.000137013,0.00157532,0.0124864,0.0033408,0.00460793,
W[18],0.00856968,0.0145766,0.0107991,0.0070039,0.00397388,0.00898463,0.00357114,
W[19],-0.354947,-0.558803,-0.426334,-0.431388,-0.260025,-0.406299,0.0983071,
W[20],-0.01492,-0.0163181,-0.00961703,-0.0112196,-0.00877179,-0.0121693,0.00295765,
W[21],0.0267308,0.0246802,0.0234078,0.0227302,0.0312947,0.0257687,0.00308069,
W[22],0.0573396,0.351184,0.103891,0.13034,0.204592,0.169469,0.102624,
W[23],0.0157703,0.00715185,0.0113727,0.0122003,0.00431005,0.0101611,0.0040095,
W[24],-0.0202187,-0.016056,-0.0152096,-0.0203067,0.000418231,-0.0142746,0.00763734,
W[25],-0.183513,-0.191157,1.05086,0.254262,0.477664,0.281624,0.462771,
W[26],-0.00910208,-0.000346217,-0.00413181,-0.00772824,0.00465702,-0.00333027,0.00501996,
W[27],-0.0136159,-0.0132089,-0.0158007,-0.00497639,0.00156973,-0.00920643,0.00652635,
W[28],1.23476,1.05593,0.0811583,0.711772,1.50226,0.917177,0.490623,
W[29],0.00365177,0.00780636,0.00155267,0.000969734,-0.012755,0.000245113,0.00692841,
W[30],-0.0125772,-0.0116624,-0.0142707,-0.0196069,-0.000723876,-0.0117682,0.0061701,
W[31],0.629767,0.593182,0.437751,0.119656,0.0975997,0.375591,0.227419,
W[32],0.00385468,0.0039252,-0.00325376,0.00527287,-0.0167738,-0.00139497,0.0082497,
W[33],-0.0106425,-0.014623,-0.0133633,-0.00984852,-0.00970864,-0.0116372,0.00199008,
W[34],-0.165018,-0.0254935,-0.328751,-0.0905639,-0.173045,-0.156574,0.101516,
W[35],-0.0142595,-0.0119748,-0.0119743,-0.0124693,0.0079635,-0.00854289,0.0082959,
W[36],-0.0126857,-0.0111049,-0.00761401,-0.0101722,0.00974998,-0.00636536,0.00822393,
W[37],0.410355,0.899772,1.29279,1.05205,0.482553,0.827504,0.336197,
W[38],-0.0059206,-0.00250072,-0.00104284,-0.0102189,-0.00569686,-0.00507598,0.00317637,
W[39],0.0374693,0.0320024,0.0343251,0.036251,0.0142171,0.030853,0.00852109,
W[40],-0.370897,-0.263298,-0.64363,-0.10066,-0.204328,-0.316563,0.185458,
