,1,2,3,4,5,E,SD,
RMSE,29.5145,37.0178,29.4138,27.8161,27.9672,30.3459,3.40978,
R^2,0.264262,0.215951,0.239149,0.30433,0.299745,0.264687,0.0341415,
W[0],-0.0550998,-0.384566,0.0342805,-0.471389,0.449835,-0.0853878,0.328696,
W[1],-0.0194032,0.0999324,-0.0508611,-0.46126,-0.129186,-0.112156,0.189476,
W[2],-0.310348,-0.311438,-0.533546,-0.695604,-0.390696,-0.448327,0.147991,
W[3],-0.361249,-0.515351,-0.368345,-0.300411,0.0161371,-0.305844,0.175824,
W[4],0.772069,-2.35627,-2.28494,-0.686117,-3.35734,-1.58252,1.45531,
W[5],-1.11004,-2.36035,-1.20217,-1.96117,-0.600128,-1.44677,0.630755,
W[6],9.69839,11.0467,12.749,11.3749,9.97754,10.9693,1.08965,
W[7],3.27107,5.39198,5.88702,4.96384,4.42969,4.78872,0.898112,
W[8],1.22476,4.53946,1.30612,3.9929,1.35426,2.4835,1.46636,
W[9],0.507375,-1.23559,1.6763,-1.52428,-0.143952,-0.14403,1.16915,
W[10],0.175921,-0.625712,0.153688,0.182372,0.113602,-2.56131e-05,0.313767,
W[11],0.93529,3.40315,2.50332,3.09865,3.23109,2.6343,0.901854,
W[12],1.10477,1.31626,1.0551,1.06694,0.474715,1.00356,0.280847,
W[13],0.299661,0.890507,0.748775,-0.0142743,0.175373,0.420008,0.344206,
W[14],-1.14719,-0.640558,-0.470952,0.239027,-0.352125,-0.474359,0.448149,
W[15],-0.40993,-0.306083,-0.476875,0.333144,-0.460195,-0.263988,0.304452,
W[16],0.719275,-0.774172,-1.54895,-0.625799,-0.841481,-0.614226,0.738824,
W[17],0.195441,0.231852,-0.041428,-0.0727427,0.366757,0.135976,0.167943,
W[18],0.0697641,-0.428552,0.0535786,-1.18886,0.171033,-0.264607,0.506745,
W[19],0.366473,3.26869,2.53277,1.55056,3.29547,2.20279,1.11682,
W[20],1.0142,2.74288,1.1841,1.75504,0.499538,1.43915,0.765244,
W[21],-9.54594,-11.4143,-11.5229,-11.0969,-10.9626,-10.9085,0.711103,
W[22],-3.35331,-4.8703,-5.83148,-4.95602,-5.02457,-4.80714,0.804528,
W[23],-1.46963,-4.39413,-1.53483,-3.48488,-0.463995,-2.2695,1.44434,
W[24],-0.371599,-0.21895,-0.525923,-0.417273,-0.148663,-0.336482,0.13619,
W[25],0.230342,0.391032,-0.0243234,-0.108261,-0.15627,0.0665041,0.210039,
W[26],-0.248567,-0.838267,-1.09267,-1.49673,-0.891084,-0.913464,0.405108,
W[27],-0.336509,-0.544983,-0.256693,-0.214994,-0.0713174,-0.284899,0.155953,
W[28],-1.05945,-1.65237,-1.49077,-0.840424,-1.20126,-1.24885,0.291993,
W[29],2.69174,5.30315,1.73785,4.3626,3.44908,3.50888,1.24548,
W[30],8.88198,8.71426,9.49801,7.92742,8.8657,8.77747,0.502885,
W[31],3.65054,2.92093,3.33652,3.87697,4.14799,3.58659,0.426431,
W[32],-3.23237,-5.44947,-2.50435,-4.64282,-3.81965,-3.92973,1.03424,
W[33],4.98084,4.59766,4.53452,4.95247,4.44694,4.70248,0.221126,
W[34],-0.246669,-0.505854,-0.165038,-1.47452,-0.223393,-0.523096,0.489888,
W[35],-0.153003,-0.676283,-0.158424,0.0639852,-0.0636153,-0.197468,0.252602,
W[36],0.353736,0.573602,0.39151,0.690875,1.30321,0.662587,0.342925,
W[37],0.0753736,0.40569,0.745855,0.646189,0.495151,0.473652,0.231331,
W[38],0.244697,0.148501,0.26043,0.357564,0.267732,0.255785,0.0665674,
W[39],0.704811,0.748155,0.767221,0.741598,0.851603,0.762678,0.0488511,
W[40],0.55358,0.3092,0.575847,0.347252,0.688004,0.494777,0.143923,
W[41],0.507359,0.606852,0.356167,0.196383,0.324103,0.398173,0.143832,
W[42],0.739048,0.597353,0.541442,0.0308273,0.532264,0.488187,0.240335,
W[43],0.357944,0.525897,0.191477,0.0523983,0.77423,0.380389,0.253003,
W[44],0.85962,1.05499,0.770503,0.745755,0.666826,0.819539,0.132826,
W[45],0.602548,0.449131,0.610808,0.65257,0.377431,0.538497,0.106087,
W[46],0.50943,0.346801,0.585657,0.30392,0.522542,0.45367,0.108738,
W[47],0.668144,0.152355,0.690498,0.436148,0.627274,0.514884,0.202281,
W[48],0.603511,1.04891,0.731783,1.01372,0.548442,0.789274,0.206689,
W[49],0.433044,0.628715,0.545304,0.52993,0.397389,0.506877,0.0828148,
W[50],0.383563,0.102556,0.487568,0.274172,0.664169,0.382406,0.18999,
W[51],0.605756,0.245983,0.717123,0.185214,0.66265,0.483345,0.222265,
W[52],0.591568,0.0675,0.604871,0.813088,0.478918,0.511189,0.246691,
W[53],0.821326,0.667413,0.50282,0.0365639,0.920318,0.589688,0.310646,
