,1,2,3,4,5,E,SD,
RMSE,28.3452,26.6979,30.2907,34.9245,30.9288,30.2374,2.777,
R^2,0.307914,0.319646,0.257584,0.232449,0.244167,0.272352,0.0349461,
W[0],0.058233,0.109708,0.147613,0.127959,0.0302077,0.0947443,0.0438642,
W[1],-0.0334035,-0.0445891,-0.064039,-0.0861112,-0.0629783,-0.0582242,0.0180891,
W[2],-0.0235324,-0.0401648,-0.0523555,-0.0770888,-0.0649998,-0.0516283,0.0186995,
W[3],0.0223849,0.00256819,0.00908485,-0.0163436,0.112701,0.026079,0.0450737,
W[4],0.133719,-0.0952134,0.508319,0.728828,0.473923,0.349915,0.292891,
W[5],0.0385731,0.438616,-0.282608,-0.185645,-0.268573,-0.0519271,0.27087,
W[6],-0.372554,0.33801,0.28703,-0.0546825,0.362513,0.112063,0.285324,
W[7],-0.718572,0.126171,0.970098,0.621469,-0.80517,0.0387991,0.707156,
W[8],0.892322,0.117781,1.12577,1.14114,0.39078,0.733559,0.410326,
W[9],-0.409503,-0.260276,-0.221676,-0.152295,0.236389,-0.161472,0.216002,
W[10],0.450768,0.239218,0.0282735,0.712007,-0.120236,0.262006,0.296442,
W[11],-0.142906,0.0915915,0.548017,0.629399,1.17346,0.459912,0.457096,
W[12],1.8351,1.61314,1.72518,1.55548,1.3541,1.6166,0.162597,
W[13],0.145866,0.505388,0.405838,-0.0456486,-0.571136,0.0880615,0.382336,
W[14],-0.0731613,-0.035858,0.0122673,-0.0514552,-0.165149,-0.0626713,0.0584334,
W[15],-0.203315,-0.0186039,0.0240232,-0.120948,-0.329944,-0.129758,0.127723,
W[16],0.43582,0.0888189,-0.141845,0.0971412,0.216111,0.139209,0.188251,
W[17],0.86961,0.959043,0.721831,0.451017,0.522909,0.704882,0.194721,
W[18],0.408066,0.219069,0.102516,0.119772,0.475641,0.265013,0.151287,
W[19],0.351268,0.504056,-0.0119047,-0.075791,-0.0503386,0.143458,0.237899,
W[20],-0.142225,-0.486572,0.301542,0.19266,-0.31675,-0.0902692,0.298199,
W[21],0.135335,-0.303727,-0.546875,0.355646,-0.799143,-0.231753,0.425724,
W[22],0.343918,-0.460129,-1.20038,-1.41977,-0.711988,-0.689669,0.618927,
W[23],0.125999,0.579446,-0.228339,-0.387448,0.162574,0.0504463,0.336926,
W[24],-0.311964,-0.236583,-0.206102,-0.22272,0.0905046,-0.177373,0.138752,
W[25],0.108811,0.0994922,0.317319,-0.320442,0.56093,0.153222,0.290644,
W[26],0.39535,0.129251,-0.0518579,-0.0804897,0.0674322,0.091937,0.169977,
W[27],-0.157412,-0.0933473,-0.279947,-0.347055,-0.330874,-0.241727,0.0996267,
W[28],-0.690178,-0.515445,-0.579071,-0.0706461,-1.67839,-0.706745,0.529506,
W[29],0.864424,0.975836,0.853774,1.00916,0.38512,0.817664,0.224622,
W[30],8.00853,8.0987,9.04718,8.57476,8.94039,8.53391,0.423266,
W[31],3.45349,3.46136,2.54745,3.09688,3.12123,3.13608,0.333105,
W[32],-0.677502,-0.865109,-0.64708,-0.722005,-0.45794,-0.673927,0.131336,
W[33],4.85605,4.95561,3.69184,4.5008,4.58933,4.51872,0.445804,
W[34],-0.664175,-0.656212,-0.669124,-0.675749,-0.576817,-0.648415,0.0363635,
W[35],-0.0297391,-0.0342424,-0.0354418,-0.0161672,-0.0353417,-0.0301865,0.00731279,
W[36],0.907152,1.08208,0.791312,0.655812,0.546488,0.79657,0.187685,
W[37],-0.619124,-0.568804,0.522397,0.996013,-0.342388,-0.00238114,0.646374,
W[38],0.0651215,0.0576174,0.0717913,0.0704015,0.10522,0.0740303,0.0163689,
W[39],-0.414117,-0.140856,-0.312915,-0.0116487,-0.13423,-0.202753,0.142729,
W[40],-0.378995,-0.096116,-0.28171,0.0218878,-0.0732911,-0.161645,0.146589,
W[41],-0.356425,-0.0750208,-0.272907,0.0421983,-0.0722315,-0.146877,0.145794,
W[42],-0.424628,-0.108942,-0.30335,0.0097585,-0.0828738,-0.182007,0.158448,
W[43],-0.384388,-0.109101,-0.30391,0.0502987,-0.111546,-0.171729,0.15462,
W[44],-0.341224,-0.0772847,-0.273065,0.0592551,-0.117749,-0.150014,0.142707,
W[45],-0.366621,-0.0786393,-0.261369,0.047066,-0.130036,-0.15792,0.143764,
W[46],-0.295137,0.0517823,-0.261762,-0.468271,-0.114366,-0.217551,0.175512,
W[47],-0.250361,0.0862695,-0.240539,-0.419959,-0.0450721,-0.173933,0.176135,
W[48],-0.227098,0.113575,-0.230347,-0.414806,-0.080172,-0.16777,0.176233,
W[49],-0.233908,0.127514,-0.227212,-0.401531,-0.0865779,-0.164343,0.176792,
W[50],-0.24755,0.111975,-0.233236,-0.414893,-0.108103,-0.178361,0.174916,
W[51],-0.229325,0.114944,-0.235434,-0.410377,-0.0979867,-0.171636,0.174326,
W[52],-0.219843,0.117512,-0.22596,-0.413502,-0.0960551,-0.16757,0.174935,
W[53],4.15648,4.23102,4.1597,4.14475,4.5509,4.24857,0.154188,
