,1,2,3,4,5,E,SD,
RMSE,29.3951,37.3453,29.5978,28.0122,27.717,30.4135,3.54371,
R^2,0.270205,0.202016,0.229603,0.294485,0.312217,0.261705,0.0407225,
W[0],0.11066,0.0865199,0.0794173,0.139653,0.163284,0.115907,0.031721,
W[1],-0.135582,-0.110731,-0.0399601,-0.111241,-0.0939339,-0.0982898,0.0320456,
W[2],-0.290599,-0.173309,-0.215631,-0.252573,-0.215086,-0.22944,0.0395547,
W[3],0.0317033,0.0320742,0.00643615,0.0471912,0.0435874,0.0321984,0.014272,
W[4],0.358013,-0.186081,-0.0140077,-0.0220798,-0.141833,-0.00119776,0.191621,
W[5],0.0937015,0.447161,0.233312,-0.0154492,0.251942,0.202133,0.156583,
W[6],0.556132,0.740825,0.127581,0.266346,0.528283,0.443833,0.218844,
W[7],-0.107837,-0.300774,-0.354909,0.0342615,0.0716807,-0.131516,0.17198,
W[8],0.530959,0.346291,0.391787,0.872138,0.331265,0.494488,0.201545,
W[9],-0.00511531,0.251641,0.807075,0.64572,0.318191,0.403502,0.28943,
W[10],0.217664,0.20958,-0.166527,0.166667,0.344966,0.15447,0.171177,
W[11],0.133505,0.224958,0.328493,0.631516,0.487435,0.361182,0.179155,
W[12],1.11105,1.0845,0.99206,0.984143,1.22457,1.07927,0.0880973,
W[13],-0.265308,-0.572722,-0.564246,-0.700468,-0.791356,-0.57882,0.17805,
W[14],0.391998,0.614189,0.660427,0.11409,0.455026,0.447146,0.193609,
W[15],0.16085,0.450155,0.14637,0.20333,0.325152,0.257171,0.115168,
W[16],-0.0402561,0.475862,0.439578,0.241756,-0.0508811,0.213212,0.225846,
W[17],0.856201,0.772396,0.692923,0.731994,0.754804,0.761664,0.0542311,
W[18],0.586577,0.0142028,0.412343,0.0559716,0.209846,0.255788,0.216486,
W[19],-0.155321,0.293118,0.125037,0.0571972,0.149003,0.0938068,0.146391,
W[20],-0.294393,-0.514434,-0.450948,-0.349689,-0.546,-0.431093,0.0957676,
W[21],-0.180125,-0.0281147,-0.1816,-0.525498,-0.27243,-0.237554,0.163965,
W[22],-0.657457,-0.765922,-0.553798,-0.508347,-0.789126,-0.65493,0.111399,
W[23],-0.0888475,-0.121639,0.261072,0.0116503,0.454439,0.103335,0.220956,
W[24],0.408806,0.47801,0.443398,0.351638,0.522361,0.440843,0.0583387,
W[25],0.119982,0.069813,0.507647,0.300323,0.086169,0.216787,0.1671,
W[26],0.163751,0.245761,0.237907,0.0255146,0.0884323,0.152273,0.0852622,
W[27],0.162412,0.191712,0.0246832,0.202879,0.421984,0.200734,0.127671,
W[28],-0.990196,-0.517359,-0.604576,-0.671536,-0.576873,-0.672108,0.166588,
W[29],-0.176368,-0.100974,0.295591,0.205977,0.325872,0.11002,0.208218,
W[30],8.4745,7.87475,8.53266,8.52167,8.7549,8.4317,0.294878,
W[31],3.34227,3.40145,3.64214,3.49728,3.34936,3.4465,0.112416,
W[32],0.275225,0.0169082,-0.209551,-0.120616,-0.295414,-0.0666896,0.199763,
W[33],4.58598,4.70625,4.9716,4.75647,4.61858,4.72778,0.13621,
W[34],-0.879844,-0.888675,-0.8722,-0.846685,-0.802056,-0.857892,0.0312331,
W[35],0.0131644,0.0361773,0.0436445,0.0415248,-0.000184571,0.0268653,0.0173353,
W[36],0.587674,0.483977,0.355447,0.344867,0.622729,0.478939,0.114673,
W[37],0.419202,0.565423,0.262752,0.49533,0.650127,0.478567,0.13218,
W[38],0.365639,0.183918,0.206077,0.386267,0.292056,0.286792,0.0815325,
W[39],0.681831,0.771398,0.775757,0.723759,0.580748,0.706699,0.0717332,
W[40],0.480127,0.640105,0.491368,0.404745,0.509493,0.505168,0.0763269,
W[41],0.589443,0.736627,0.587272,0.388671,0.48136,0.556675,0.116868,
W[42],0.303753,0.450312,0.300984,0.221661,0.283052,0.311952,0.0752579,
W[43],0.60624,0.866295,0.812478,0.518404,0.395909,0.639865,0.176897,
W[44],0.487042,0.719284,0.613868,0.495763,0.574181,0.578028,0.0852038,
W[45],0.450291,0.699131,0.719046,0.560415,0.504391,0.586655,0.106046,
W[46],0.3081,0.535159,0.378371,0.63251,0.524673,0.475762,0.116693,
W[47],0.396685,0.510403,0.331,0.441759,0.409307,0.417831,0.0586541,
W[48],0.310189,0.564419,0.314081,0.760284,0.427155,0.475226,0.170135,
W[49],0.555461,0.643582,0.557702,0.686415,0.578615,0.604355,0.0519658,
W[50],0.113889,0.362245,0.251675,0.411561,0.514139,0.330702,0.13743,
W[51],0.283536,0.532161,0.360023,0.507262,0.459527,0.428502,0.0933974,
W[52],0.487276,0.711656,0.452879,0.706967,0.479874,0.567731,0.116176,
W[53],0.0222966,0.955048,0.0340054,0.253553,0.206883,0.294357,0.34282,
