,1,2,3,4,5,E,SD,
RMSE,31.4822,27.3052,30.1816,32.0977,31.4448,30.5023,1.71572,
R^2,0.257801,0.276779,0.250546,0.247462,0.266976,0.259913,0.0107857,
W[0],0.0171532,-0.00374409,0.0611688,0.108245,0.102917,0.0571479,0.0447868,
W[1],0.000670449,-0.0208302,-0.0271137,-0.0227452,-0.0086208,-0.0157279,0.0102404,
W[2],-0.115028,-0.114959,-0.144072,-0.125121,-0.0883277,-0.117502,0.018043,
W[3],-0.0109724,0.0236849,0.0232699,-0.0117016,-0.00700341,0.00345548,0.0164264,
W[4],-0.349129,-0.0547167,0.341398,0.65993,0.0073545,0.120967,0.347515,
W[5],0.0555568,-0.0364431,-0.171455,-0.237435,0.0468072,-0.068594,0.117348,
W[6],0.16585,0.953678,0.691569,-0.337933,0.803624,0.455358,0.477186,
W[7],0.521797,0.169799,0.354354,0.738898,0.292838,0.415537,0.197504,
W[8],0.471436,0.465782,0.766887,1.09121,0.619877,0.683039,0.232207,
W[9],0.103556,0.20708,-0.0424916,-0.210415,0.29027,0.0696,0.17873,
W[10],0.219467,0.232335,0.228376,0.129738,0.370199,0.236023,0.0770011,
W[11],0.279038,-0.337714,-0.132201,1.02053,-0.038273,0.158276,0.474779,
W[12],0.695724,0.637904,0.930732,1.00714,0.842902,0.822881,0.138831,
W[13],-0.197507,0.0510061,0.0282624,0.0743672,0.0977016,0.0107661,0.106683,
W[14],0.0544214,-0.071644,0.0173433,0.0478022,-0.0403815,0.00150826,0.0495977,
W[15],-0.152397,-0.310996,-0.342891,-0.210108,-0.324794,-0.268237,0.0740243,
W[16],1.13243,0.633766,0.659364,-0.373289,0.406111,0.491677,0.492822,
W[17],0.422872,0.321474,0.30686,0.50528,0.42747,0.396791,0.0736904,
W[18],-0.0910633,0.0232069,-0.0314554,-0.0320271,0.170643,0.00786085,0.0890577,
W[19],0.76586,0.379297,-0.17387,-0.262626,0.333907,0.208514,0.380451,
W[20],-0.165031,-0.124443,-0.00889385,0.165017,-0.0215815,-0.0309867,0.114626,
W[21],-1.23314,-1.21993,-1.10838,-0.0905588,-0.668696,-0.864141,0.437956,
W[22],-0.730922,-0.545159,-0.726497,-0.943103,-0.816699,-0.752476,0.130064,
W[23],0.22109,-0.250605,-0.482429,-0.482206,-0.32848,-0.264526,0.258833,
W[24],-0.195994,-0.183764,-0.194845,-0.22755,-0.311114,-0.222653,0.0465739,
W[25],0.0281707,-0.2123,-0.198631,-0.025467,-0.190005,-0.119646,0.100492,
W[26],0.318428,0.224595,0.140947,-0.406899,0.165378,0.0884898,0.255135,
W[27],-0.0990155,-0.0459251,0.18991,0.404171,-0.202368,0.0493545,0.219138,
W[28],-0.64292,-0.654032,-0.630656,-0.530092,-0.616098,-0.61476,0.0441781,
W[29],-0.213298,0.2763,0.0525718,0.507932,0.23191,0.171083,0.240845,
W[30],8.76499,9.01475,8.74524,8.99412,9.15705,8.93523,0.157525,
W[31],3.60015,3.5508,3.4086,3.48642,3.25975,3.46115,0.119433,
W[32],0.240939,-0.262539,-0.093572,-0.490939,-0.220218,-0.165266,0.240286,
W[33],5.08524,4.96251,4.67411,4.78491,4.54444,4.81024,0.194235,
W[34],-0.270957,-0.179343,-0.182499,-0.265477,-0.235442,-0.226743,0.0393324,
W[35],-0.000779914,0.00888461,0.0124748,0.00340668,-0.0171189,0.00137345,0.0102995,
W[36],0.434482,0.244297,0.268283,0.379019,0.394862,0.344189,0.0743958,
W[37],2.21868,2.57958,2.18792,1.77471,2.21658,2.1955,0.255194,
W[38],0.0606376,0.0585045,0.0639809,0.0577126,0.0329174,0.0547506,0.0111302,
W[39],-0.0149935,0.0542284,-0.211776,-0.33977,0.0541181,-0.0916385,0.157733,
W[40],-0.0312573,0.0520807,-0.235928,-0.384517,0.0858549,-0.102753,0.17988,
W[41],-0.026609,0.0694867,-0.223274,-0.380377,0.0600083,-0.100153,0.175227,
W[42],-0.0366895,0.0329749,-0.265518,-0.398586,0.0763638,-0.118291,0.183124,
W[43],-0.0503361,0.0448456,-0.244994,-0.399544,0.0648778,-0.11703,0.178847,
W[44],-0.0240987,0.066445,-0.224218,-0.3786,0.0878251,-0.0945293,0.179801,
W[45],-0.0290796,0.0574134,-0.222547,-0.37369,0.0586463,-0.101852,0.170226,
W[46],-0.129374,0.184677,-0.111554,-0.103302,-0.0817423,-0.0482591,0.11747,
W[47],-0.142566,0.172726,-0.121048,-0.113395,-0.0607234,-0.0530011,0.116028,
W[48],-0.0973674,0.178759,-0.111565,-0.0727379,-0.0621155,-0.0330053,0.107317,
W[49],-0.117143,0.189885,-0.112451,-0.0890689,-0.0693586,-0.0396275,0.116031,
W[50],-0.140188,0.16963,-0.141412,-0.10933,-0.0735938,-0.058979,0.116962,
W[51],-0.121007,0.176795,-0.119332,-0.092047,-0.0587953,-0.0428771,0.11214,
W[52],-0.124714,0.167629,-0.129515,-0.106055,-0.044984,-0.0475277,0.111718,
W[53],1.75457,1.57289,1.82517,2.19759,1.68484,1.80701,0.212306,
