,1,2,3,4,5,E,SD,
RMSE,30.1745,32.1024,28.69,29.9307,30.8355,30.3466,1.11964,
R^2,0.224401,0.282278,0.257198,0.281922,0.287224,0.266605,0.0235593,
W[0],-0.217733,0.0805929,0.12443,0.168115,0.117614,0.0546037,0.138977,
W[1],-0.034612,0.0572041,-0.0563073,0.0391724,-0.00560391,-2.93661e-05,0.0429108,
W[2],-0.145473,-0.000597258,-0.0575796,0.0447918,-0.146793,-0.0611303,0.0766136,
W[3],0.0584653,-0.0132047,-0.0252025,-0.102398,0.0179494,-0.0128781,0.0533028,
W[4],0.445926,0.380915,-0.29635,0.603578,-0.385352,0.149743,0.408033,
W[5],-0.339164,-0.414279,-0.00487693,-0.0353893,-0.387055,-0.236153,0.178273,
W[6],1.26404,2.02678,1.91311,1.45416,2.00803,1.73322,0.313707,
W[7],0.738292,0.951264,0.369593,1.12815,1.28398,0.894255,0.319197,
W[8],0.577953,2.13628,1.17834,1.6341,1.50032,1.4054,0.516086,
W[9],0.690773,-0.269185,-0.326061,0.144712,0.138286,0.0757052,0.365336,
W[10],0.0669335,0.769591,0.191416,0.48296,0.373924,0.376965,0.243289,
W[11],-0.82383,1.04192,1.52575,0.750924,1.1268,0.724312,0.812726,
W[12],1.78886,2.22732,1.62523,1.78297,1.84143,1.85316,0.200574,
W[13],-0.393665,-0.733818,0.285348,-0.191918,0.0507678,-0.196657,0.352399,
W[14],-0.40011,-0.0434961,-0.0466586,-0.196815,-0.160459,-0.169508,0.130365,
W[15],-0.569403,-0.202125,-0.336515,-0.155537,-0.399948,-0.332706,0.147649,
W[16],0.949252,0.871585,0.619784,1.17786,0.575243,0.838744,0.22166,
W[17],0.701116,0.557832,0.579792,0.359536,0.564968,0.552649,0.109773,
W[18],0.246623,-0.00521095,0.445504,0.220302,0.738571,0.329158,0.249648,
W[19],-0.314709,0.387028,1.0871,0.0334055,0.460385,0.330641,0.468415,
W[20],-0.193407,0.554404,0.183605,0.194337,0.415316,0.230851,0.25388,
W[21],-1.15105,-2.17549,-1.71321,-1.52869,-1.90588,-1.69487,0.346183,
W[22],-1.77462,-1.71756,-1.17692,-1.97097,-2.14466,-1.75695,0.326932,
W[23],-0.46625,-0.934137,-0.470085,-0.333273,-0.605466,-0.561842,0.205089,
W[24],-0.160269,-0.403821,-0.642719,-0.537209,-0.511116,-0.451027,0.164044,
W[25],0.040497,0.116155,0.43494,0.23949,0.469994,0.260215,0.169703,
W[26],0.563139,0.175641,0.0944056,0.117408,0.119962,0.214111,0.176548,
W[27],0.0920235,0.112867,-0.45194,-0.381165,-0.351187,-0.19588,0.245858,
W[28],-1.57695,-0.330939,-1.42434,-0.730997,-1.37094,-1.08683,0.475991,
W[29],0.985433,1.16294,2.05315,1.55081,1.73412,1.49729,0.385153,
W[30],7.6599,8.28955,8.54773,8.63451,8.30639,8.28762,0.341283,
W[31],2.91846,2.66492,2.85129,2.89406,2.72138,2.81002,0.0994355,
W[32],-0.823732,-1.01993,-1.52889,-1.25018,-1.19216,-1.16298,0.235752,
W[33],4.69475,4.04106,4.27305,3.8545,4.01028,4.17473,0.29242,
W[34],-0.862868,-0.835254,-0.787484,-0.783742,-0.866397,-0.827149,0.0356074,
W[35],0.000106322,-0.0207367,-0.0364726,0.0410845,-0.0254553,-0.00829475,0.027394,
W[36],0.873906,1.09057,0.53923,1.15791,0.424569,0.817236,0.291703,
W[37],0.526703,0.0289634,0.063727,-0.91339,0.368519,0.0149044,0.500258,
W[38],0.13632,0.137707,0.0863701,0.135102,0.0968497,0.11847,0.0221951,
W[39],0.201389,-0.368885,-0.227805,0.183927,0.210282,-0.000218303,0.247619,
W[40],0.146273,-0.331557,-0.208903,0.15345,0.273222,0.00649707,0.233646,
W[41],0.16637,-0.368621,-0.233084,0.118603,0.197735,-0.0237994,0.231613,
W[42],0.27784,-0.450724,-0.319636,0.234014,0.319858,0.0122702,0.328278,
W[43],0.162188,-0.341611,-0.267152,0.245011,0.281419,0.0159709,0.265452,
W[44],0.284724,-0.257564,-0.232788,0.129431,0.337073,0.0521752,0.252332,
W[45],0.225119,-0.447269,-0.221676,0.127447,0.247629,-0.0137501,0.274403,
W[46],10.4217,10.493,10.547,10.5614,10.4688,10.4984,0.0512065,
W[47],10.2266,10.4075,10.2006,10.3075,10.2445,10.2773,0.074009,
W[48],10.2111,10.5365,10.3353,10.4999,10.4544,10.4074,0.11932,
W[49],10.6307,10.8092,10.7225,10.9007,10.6941,10.7514,0.0941549,
W[50],10.7043,10.7461,10.7386,10.9075,10.7804,10.7754,0.0703612,
W[51],10.652,10.586,10.6161,10.6144,10.5269,10.5991,0.0417507,
W[52],30.0839,30.3065,30.0875,30.3945,30.0956,30.1936,0.131162,
