,1,2,3,4,5,E,SD,
RMSE,30.5815,27.8319,31.2183,28.9918,33.9649,30.5177,2.09377,
R^2,0.275313,0.255697,0.248672,0.279038,0.233294,0.258403,0.0169952,
W[0],0.168791,0.133058,0.181416,0.165053,0.0745976,0.144583,0.0384512,
W[1],0.0198481,0.0446276,0.00777209,0.0133934,-0.0454495,0.00803835,0.0295565,
W[2],-0.177279,-0.109785,-0.143435,-0.190939,0.0531317,-0.113661,0.0880233,
W[3],0.00417514,0.00707239,0.00689528,0.00820949,0.0114504,0.00756054,0.00235346,
W[4],-0.0876671,-0.333545,-0.407916,-0.430236,0.10544,-0.230785,0.207483,
W[5],-0.605118,-0.621269,-0.366994,-0.459146,-0.555336,-0.521573,0.095761,
W[6],1.78654,1.82821,1.66528,1.90436,1.84507,1.80589,0.0798427,
W[7],1.46139,2.19562,1.14886,0.986109,1.74086,1.50657,0.431405,
W[8],1.38804,1.41793,0.977325,1.21979,1.29968,1.26055,0.157754,
W[9],0.322695,0.132776,0.164846,0.771546,-0.00432096,0.277508,0.268023,
W[10],-0.0889896,-0.0439327,0.042589,0.039717,-0.112585,-0.0326402,0.0641699,
W[11],0.551486,1.13991,1.00173,0.879509,0.773032,0.869134,0.200573,
W[12],0.914922,0.58986,0.84287,0.701988,0.591887,0.728305,0.131469,
W[13],0.474095,0.351818,0.265843,0.209628,0.456911,0.351659,0.103543,
W[14],-0.205383,-0.348313,0.163341,-0.290719,0.0642036,-0.123374,0.201354,
W[15],-0.181149,-0.154415,-0.231444,-0.227971,-0.167079,-0.192411,0.0316237,
W[16],0.428247,0.127592,0.0911763,0.0462939,0.0144655,0.141555,0.148426,
W[17],0.197321,0.271784,0.355316,0.240616,0.248641,0.262736,0.052192,
W[18],-0.14472,-0.232086,-0.189838,-0.151132,-0.247548,-0.193065,0.0414659,
W[19],0.337637,0.519759,1.12419,0.195371,0.0813369,0.45166,0.366815,
W[20],0.391599,0.369214,0.182134,0.307193,0.478638,0.345755,0.0985582,
W[21],-2.36199,-2.66069,-2.30668,-2.17126,-2.72141,-2.4444,0.211604,
W[22],-1.46352,-2.06867,-1.16223,-1.16375,-1.87639,-1.54691,0.369469,
W[23],-0.815397,-0.727242,-0.395304,-0.800495,-0.808639,-0.709415,0.160223,
W[24],-0.231334,-0.229518,-0.277634,-0.224208,-0.236254,-0.23979,0.0193108,
W[25],0.0355939,-0.0814162,-0.0593581,-0.0577614,0.106219,-0.0113446,0.0712659,
W[26],-0.177571,-0.398143,-0.453498,-0.278228,-0.333269,-0.328142,0.0957116,
W[27],0.148065,0.125953,0.5398,0.199381,-0.311889,0.140262,0.271231,
W[28],-0.86073,-0.668459,-0.670537,-0.527379,-0.841865,-0.713794,0.12383,
W[29],0.338529,0.880372,1.36525,0.241425,-0.801939,0.404727,0.726076,
W[30],9.10608,9.40467,9.0718,8.86745,8.88577,9.06715,0.194031,
W[31],3.60905,3.38411,3.64066,3.85582,3.44387,3.5867,0.1657,
W[32],-0.395528,-0.924517,-1.43842,-0.37009,0.754374,-0.474836,0.729235,
W[33],5.0252,4.59261,4.88734,5.28761,4.74169,4.90689,0.23891,
W[34],-0.124898,-0.119999,-0.103761,-0.127257,-0.0839031,-0.111963,0.0162505,
W[35],0.0658813,0.0598682,0.0656786,0.0584848,-0.02324,0.0453346,0.0344171,
W[36],0.29863,0.308146,0.276261,0.345813,0.324599,0.31069,0.0235132,
W[37],0.049301,0.809671,-0.35679,-0.0125944,-0.656599,-0.0334023,0.492138,
W[38],0.0498172,0.0336954,0.0677546,0.0569111,-0.00112378,0.0414109,0.0239735,
W[39],0.103436,-0.193375,0.0441755,-0.310617,0.237465,-0.023783,0.200044,
W[40],0.108745,-0.221841,0.036428,-0.327437,0.275001,-0.0258208,0.219942,
W[41],0.100007,-0.229631,0.039742,-0.335463,0.248398,-0.0353895,0.21554,
W[42],0.120813,-0.190621,0.0676478,-0.306884,0.315162,0.00122389,0.223162,
W[43],0.121938,-0.191894,0.0605836,-0.312128,0.216244,-0.0210513,0.198661,
W[44],0.0845268,-0.238392,0.0326412,-0.336451,0.243341,-0.0428669,0.213667,
W[45],0.130719,-0.172626,0.078933,-0.286735,0.264913,0.00304061,0.202715,
W[46],-0.407948,-0.131962,0.0875527,-0.142704,0.00731105,-0.11755,0.169014,
W[47],-0.353655,-0.0973517,0.119619,-0.0941912,-0.00764574,-0.086645,0.155082,
W[48],-0.396944,-0.111535,0.091616,-0.123848,-0.0597559,-0.120093,0.158237,
W[49],-0.387997,-0.0963214,0.114698,-0.120052,-0.011562,-0.100247,0.165695,
W[50],-0.399216,-0.0936079,0.105756,-0.107898,-0.0477664,-0.108547,0.16391,
W[51],-0.391457,-0.108779,0.1066,-0.129958,-0.0268023,-0.110079,0.163374,
W[52],-0.401636,-0.119955,0.0970507,-0.125935,-0.0596447,-0.122024,0.161299,
W[53],4.10807,4.03231,4.08015,4.02588,3.88335,4.02595,0.0775333,
