,1,2,3,4,5,E,SD,
RMSE,29.1174,24.7287,29.2555,23.1141,28.0867,26.8605,2.48648,
R^2,0.372164,0.468246,0.36691,0.499367,0.428462,0.42703,0.052073,
X[29],9.70723,11.052,10.729,9.90823,10.1849,10.3163,0.503247,
X[30],14.0777,13.3958,14.4948,13.2649,11.5982,13.3663,0.991644,
X[32],0.16467,-0.721982,-0.6872,-0.494299,-1.19161,-0.586084,0.439867,
X[33],1.7629,1.60267,1.25366,1.61199,1.22769,1.49178,0.212931,
X[36],7.30946,6.37328,7.06114,6.67392,5.05894,6.49535,0.786505,
X[0] * X[29],3.29524,3.01321,3.0569,1.3801,3.42888,2.83487,0.743268,
X[0] * X[30],0.156999,-0.114187,-0.0802202,-0.568491,0.0436594,-0.112448,0.247381,
X[0] * X[31],-0.645867,-0.213316,-0.0560134,0.125736,-0.445657,-0.247024,0.273899,
X[0] * X[32],-3.19519,-2.88384,-3.19365,-1.27151,-3.39005,-2.78685,0.774819,
X[0] * X[33],-0.758237,-0.630857,-0.183955,0.258529,-0.847132,-0.43233,0.413924,
X[0] * X[34],0.219577,0.159643,0.322478,0.0762857,0.0361007,0.162817,0.102243,
X[0] * X[35],0.201257,0.17253,0.0671516,0.196285,0.587459,0.244937,0.178015,
X[0] * X[36],-1.495,-1.83061,-1.97197,-2.0847,-2.17003,-1.91046,0.236857,
X[1] * X[29],0.419021,0.970396,0.879866,1.72328,1.94656,1.18783,0.564902,
X[1] * X[30],-0.701886,-0.95899,-1.01802,-1.2007,-0.623848,-0.900687,0.211344,
X[1] * X[32],-0.403959,-0.840442,-0.703181,-1.76777,-1.66548,-1.07617,0.542615,
X[1] * X[33],0.133724,0.125129,0.0208503,0.00962275,0.387106,0.135286,0.135945,
X[1] * X[34],-0.0211771,-0.00198815,-0.0146907,-0.0513318,-0.0328016,-0.0243979,0.0167503,
X[1] * X[35],0.0306918,0.0538936,0.0651482,0.0350441,0.0324248,0.0434405,0.0136738,
X[1] * X[36],0.0522352,-0.140813,-0.215935,-0.144583,-0.214265,-0.132672,0.0979684,
X[2] * X[29],-0.0623548,-0.468356,0.496421,0.230502,0.494657,0.138174,0.366616,
X[2] * X[30],0.300289,0.0581522,-0.493481,0.421218,0.061776,0.0695908,0.314358,
X[2] * X[31],0.500415,0.537221,1.03637,0.352038,1.02395,0.689999,0.284605,
X[2] * X[32],-0.886124,-0.683125,-1.60633,-1.1374,-1.72946,-1.20849,0.403652,
X[2] * X[33],-0.979015,-0.339774,-0.0789459,-0.401876,0.0289755,-0.354127,0.350845,
