,1,2,3,4,5,E,SD,
RMSE,28.0762,22.207,24.7951,32.7596,34.4609,28.4598,4.62981,
R^2,0.333801,0.408293,0.422806,0.347058,0.245101,0.351412,0.063188,
W[0],3.55169,2.64733,3.59473,2.98564,3.8257,3.32102,0.435699,
W[1],0.0813396,0.550699,-0.299368,0.155287,-0.363306,0.0249304,0.332417,
W[2],-0.371312,-0.732026,-0.246979,0.227496,-0.180484,-0.260661,0.309626,
W[3],-0.429262,-0.519285,0.160819,-0.732079,0.122311,-0.279499,0.357795,
W[4],-0.589306,-0.236755,-0.13118,-0.610071,-0.200074,-0.353477,0.203975,
W[5],0.140417,0.00851595,0.13727,0.131894,0.0975426,0.103128,0.0497318,
W[6],-0.0438914,0.143757,-0.0041133,0.0423065,0.0711461,0.0418411,0.064355,
W[7],-0.0322438,-0.269236,0.0257362,-0.157179,-0.227064,-0.131997,0.112549,
W[8],0.127247,0.0741498,0.188956,0.136361,-0.266926,0.0519575,0.163548,
W[9],-0.624045,0.0749575,-0.34512,0.00368144,-0.447512,-0.267608,0.266972,
W[10],-0.847387,-1.00986,-0.480348,-0.565821,-0.243447,-0.629372,0.271103,
W[11],-0.253354,-0.50456,-0.123621,0.100085,-0.679324,-0.292155,0.275237,
W[12],-0.0427435,-0.00126167,-0.106262,-0.0446323,-0.0480384,-0.0485876,0.0335147,
W[13],0.0289832,-0.02596,0.0569489,-0.00601048,-0.0743518,-0.00407803,0.0452511,
W[14],-0.570705,-0.638367,-0.51772,-0.744834,-0.352178,-0.564761,0.130601,
W[15],0.272634,-0.116371,-0.325702,-0.269644,-0.223522,-0.132521,0.213923,
W[16],3.01866,3.60288,3.1277,3.30587,3.01714,3.21445,0.220917,
W[17],-0.252608,-0.156998,0.162314,0.196409,0.174257,0.0246747,0.190107,
W[18],0.606546,0.295195,0.323961,0.352573,0.536252,0.422905,0.124594,
W[19],-0.0127662,-0.0174574,0.00411655,-0.0129581,-0.00655575,-0.00912418,0.00747422,
W[20],0.641138,1.17411,0.399922,0.885513,0.88539,0.797215,0.260702,
W[21],-0.358718,0.615502,0.599821,-0.566997,0.372417,0.132405,0.497962,
W[22],1.90606,1.57663,1.96439,1.41839,2.54089,1.88127,0.387219,
W[23],0.981221,0.233619,-0.48326,0.0855047,0.565567,0.27653,0.489029,
W[24],1.6072,0.259572,0.618154,1.09065,0.70691,0.856497,0.459103,
W[25],0.132965,-0.157901,0.132262,0.450509,-0.00713974,0.110139,0.201227,
W[26],0.101324,0.29616,-0.523649,0.183937,0.0384164,0.0192375,0.284831,
W[27],0.746792,1.08974,0.819151,0.75863,0.520603,0.786984,0.182251,
W[28],0.564816,-0.355266,-0.397267,0.774196,0.848893,0.287075,0.549726,
W[29],-0.491891,-0.0800103,-0.0552519,0.811597,0.09135,0.0551586,0.425025,
W[30],0.552477,-0.365732,0.222297,0.62052,0.814968,0.368906,0.414045,
W[31],0.28254,0.0423221,0.335247,-0.848139,0.884473,0.139289,0.565444,
W[32],0.418434,0.242335,0.529241,-0.524266,0.0812703,0.149403,0.369801,
W[33],1.08733,0.202319,0.428257,-0.482127,-0.365937,0.173969,0.569501,
W[34],0.612037,0.166668,0.0924246,-0.0461932,0.233624,0.211712,0.220687,
W[35],-0.828729,-0.157645,0.330535,-0.388909,-0.029309,-0.214811,0.385302,
W[36],0.679603,1.60717,-0.281778,-0.491857,0.566339,0.415896,0.751276,
W[37],-1.05792,0.368396,0.0242724,0.00133406,0.970496,0.0613155,0.660086,
W[38],-0.0803723,0.762326,-0.082015,0.859356,0.825399,0.456939,0.440486,
