,1,2,3,4,5,E,SD,
RMSE,26.7167,31.3628,26.3286,28.2454,27.5848,28.0477,1.78714,
R^2,0.397084,0.33792,0.380659,0.376752,0.381565,0.374796,0.0197009,
W[0],3.74739,3.8878,4.38706,4.16697,4.63256,4.16435,0.322232,
W[1],-0.0046907,-0.39866,-0.300558,1.0717,-0.035932,0.0663721,0.524804,
W[2],-0.209931,-0.418675,-0.595079,0.250442,-0.0415059,-0.20295,0.293932,
W[3],-0.54372,-0.306387,-0.282698,-1.19637,-0.627014,-0.591237,0.330471,
W[4],-0.310944,-0.630588,-0.393871,-0.277717,-0.697002,-0.462025,0.170333,
W[5],0.288443,0.329282,0.221746,0.216428,0.253335,0.261847,0.0424222,
W[6],0.083208,0.0716743,0.356148,0.166403,0.111688,0.157824,0.104426,
W[7],-0.265299,-0.182559,-0.796291,-0.126672,-0.321772,-0.338518,0.238495,
W[8],0.614386,-0.399095,0.295024,-0.134367,0.187408,0.112671,0.350282,
W[9],-0.82584,-0.0914919,-0.464701,-0.845681,-0.246215,-0.494786,0.302676,
W[10],-0.707316,-0.295431,0.134209,0.399293,-0.498968,-0.193643,0.406572,
W[11],-0.621951,-0.808092,0.139824,0.200715,-0.077292,-0.233359,0.408256,
W[12],-0.163387,-0.196863,-0.221735,-0.0277149,0.00243977,-0.121452,0.0912556,
W[13],-0.206329,-0.0340099,-0.148976,-0.223312,-0.263304,-0.175186,0.0795846,
W[14],-0.355972,-0.450588,-0.14457,-0.42026,-0.579055,-0.390089,0.142634,
W[15],0.425376,0.685736,0.873858,0.640057,0.574439,0.639893,0.146385,
W[16],2.37026,3.01436,2.61991,2.6703,2.71709,2.67838,0.206303,
W[17],-0.614663,-0.8564,-1.10291,-0.546952,-0.79226,-0.782637,0.195893,
W[18],0.106871,0.30778,0.0756311,0.223254,0.0576391,0.154235,0.0960129,
W[19],-0.0430166,-0.0513155,-0.108032,-0.142872,-0.0616006,-0.0813673,0.0381011,
W[20],0.817256,0.911659,0.667211,0.560802,0.912869,0.773959,0.139257,
W[21],1.24676,0.900366,1.43673,0.55961,1.07087,1.04287,0.300443,
W[22],1.38448,1.41016,1.3336,2.4715,1.86345,1.69264,0.433466,
W[23],0.853588,0.861027,-0.117856,0.00497017,-0.108641,0.298618,0.458222,
W[24],1.55777,1.2438,1.51448,1.17941,0.83145,1.26538,0.26218,
W[25],-0.112353,-0.00209234,0.0296017,0.433791,0.179048,0.105599,0.188669,
W[26],-0.00549442,-0.810276,-0.187937,-0.531295,-0.56526,-0.420052,0.28687,
W[27],1.02975,0.678065,1.42889,1.85684,0.864686,1.17165,0.422763,
W[28],1.22975,-0.213375,0.892131,1.01271,-0.206281,0.542987,0.624126,
W[29],0.202447,0.28617,1.34565,0.657698,1.32264,0.762921,0.49099,
W[30],0.66894,-0.131946,0.673425,0.126922,0.590244,0.385517,0.328564,
