,1,2,3,4,5,E,SD,
RMSE,30.3304,26.938,32.059,20.2944,26.0126,27.1269,4.06323,
R^2,0.353507,0.375331,0.382962,0.467215,0.469478,0.409699,0.0488573,
W[0],-0.86198,-0.3446,-0.969645,-0.540444,-0.0277522,-0.548884,0.34306,
W[1],4.08052,0.429163,3.71575,4.47667,5.0552,3.55146,1.62314,
W[2],0.867354,-0.430551,0.221581,0.697756,-0.233513,0.224525,0.505195,
W[3],-4.84947,-0.963343,-4.40601,-4.55122,-5.10661,-3.97533,1.52533,
W[4],-0.556217,-0.125279,-0.0953062,-0.0854292,0.0214554,-0.168155,0.200266,
W[5],0.167899,0.380665,0.206256,0.327646,0.166891,0.249871,0.0879356,
W[6],0.349277,0.153183,0.374304,0.0994977,-0.0242581,0.190401,0.151518,
W[7],-0.303998,-0.637561,0.0353764,-0.471898,-0.303624,-0.336341,0.223338,
W[8],0.207471,-0.841405,-0.502946,0.0787453,-1.02598,-0.416823,0.488691,
W[9],0.68499,0.216191,1.17157,0.412187,0.867864,0.67056,0.335664,
W[10],-1.53804,-0.452484,-1.09676,-1.05826,-0.252163,-0.879541,0.466631,
W[11],-0.901427,-1.51482,-1.61123,-1.46073,-1.42163,-1.38197,0.248559,
W[12],-0.0038245,-0.0594439,-0.107898,-0.0517496,-0.11142,-0.0668672,0.0398158,
W[13],-0.12067,-0.078872,-0.0728919,-0.225045,-0.0946073,-0.118417,0.0558172,
W[14],-3.14184,-3.23941,-1.97053,-3.09563,-3.13136,-2.91575,0.475008,
W[15],4.81747,4.6509,4.09461,4.59263,4.20044,4.47121,0.276432,
W[16],2.08356,1.93563,2.05364,2.48687,2.27448,2.16684,0.1935,
W[17],-5.6264,-5.46478,-5.00861,-5.51557,-5.05234,-5.33354,0.25329,
W[18],-0.430448,-0.401316,-0.142706,-0.263398,-0.13879,-0.275332,0.123538,
W[19],-0.0563032,-0.0447325,-0.0585008,-0.0417771,-0.0389379,-0.0480503,0.00788315,
W[20],2.02077,3.07232,2.08731,2.57096,2.57522,2.46531,0.382674,
W[21],4.90977,5.14117,5.0394,4.50499,6.51644,5.22235,0.682208,
W[22],4.97581,5.74114,4.41268,5.35374,4.83564,5.0638,0.453126,
W[23],1.21776,0.407159,1.93174,1.52779,1.19733,1.25636,0.501185,
W[24],2.71217,2.52354,2.57017,2.42271,2.10508,2.46674,0.203418,
W[25],-0.974761,-0.979013,-1.13399,-1.02368,-1.64698,-1.15169,0.254217,
W[26],-0.346267,-0.0192939,0.056366,0.0700102,0.425601,0.0372834,0.245983,
W[27],4.24548,5.49171,3.62875,5.40019,3.32074,4.41737,0.891539,
W[28],1.57306,1.52313,2.07116,1.41067,2.08507,1.73262,0.286994,
W[29],2.41611,-0.668823,0.191718,-1.99091,0.7279,0.135199,1.4645,
W[30],0.671463,1.2217,1.73707,0.242779,0.85729,0.946061,0.505879,
W[31],1.03415,0.12651,-1.20204,-0.547748,-1.51827,-0.421477,0.921663,
W[32],1.91618,2.03399,1.05139,1.49179,0.878463,1.47436,0.456662,
W[33],1.07868,0.223434,0.112752,1.05736,0.293106,0.553066,0.424427,
W[34],-0.189156,1.19558,-1.10174,-1.04442,-0.488936,-0.325735,0.834071,
W[35],-0.271742,1.63781,2.97136,2.16299,0.880902,1.47626,1.10842,
W[36],-1.44601,-1.64197,-1.44288,-1.86769,-0.115693,-1.30285,0.613757,
W[37],0.20402,-0.381295,1.46441,0.725572,1.54306,0.711153,0.736247,
W[38],-0.300653,0.0840747,1.12818,0.94921,2.09899,0.79196,0.841547,
W[39],3.46904,3.27451,2.68261,2.72079,3.24915,3.07922,0.317727,
W[40],0.45613,1.84138,1.15559,1.7449,1.40274,1.32015,0.496493,
W[41],1.1122,1.06681,0.695909,1.56711,2.3784,1.36408,0.577638,
W[42],2.58994,1.76638,3.02062,2.07026,2.38501,2.36644,0.430358,
W[43],7.74899,8.75463,8.01699,7.76472,8.06629,8.07032,0.365452,
W[44],1.06509,1.82784,1.28576,0.855527,1.32661,1.27217,0.325081,
W[45],2.24604,3.86394,3.15771,1.9623,4.28777,3.10355,0.896804,
W[46],0.435689,0.7302,1.01474,0.576286,1.01904,0.75519,0.233107,
W[47],1.83899,1.53524,1.74676,2.18782,1.95449,1.85266,0.216729,
W[48],1.46307,0.788456,2.93718,3.72688,3.36934,2.45699,1.13556,
W[49],0.934366,1.94724,2.3743,0.969026,1.20133,1.48525,0.575225,
W[50],-1.1344,-1.45126,-1.44349,-1.47049,-0.412717,-1.18247,0.404516,
W[51],-3.13704,-3.00639,-2.05463,-2.35079,-2.20097,-2.54996,0.438136,
W[52],-0.564497,0.514077,0.390894,-0.405255,0.984501,0.183944,0.5831,
W[53],0.204217,0.550527,0.395105,0.480429,0.283139,0.382683,0.126206,
W[54],1.04401,1.11738,0.898199,0.804149,0.352752,0.8433,0.268549,
W[55],-1.28487,-0.852845,-0.448156,-1.53675,-0.723657,-0.969256,0.391683,
W[56],0.927851,0.388643,-1.15776,-0.625344,-1.55184,-0.403691,0.931322,
W[57],1.90026,0.579957,0.929802,1.41832,1.74792,1.31525,0.49584,
W[58],0.551046,-1.53891,-1.68355,0.326296,-0.396986,-0.548421,0.92374,
W[59],1.19805,1.17571,1.26898,1.86255,1.13276,1.32761,0.271082,
W[60],-0.0648225,0.353425,0.207708,1.09604,1.1979,0.558049,0.500283,
W[61],1.8455,1.90618,0.524871,0.305395,0.148814,0.946151,0.768671,
W[62],0.434126,0.934287,2.15149,1.51551,0.271284,1.06134,0.696911,
W[63],-0.91652,1.24917,-0.425768,0.702889,0.484031,0.21876,0.783679,
W[64],2.24673,5.62561,2.97883,4.11417,4.34088,3.86124,1.16553,
W[65],0.890296,1.10236,0.962571,0.30616,2.3644,1.12516,0.676547,
W[66],-0.88837,5.35692,3.20152,4.7751,4.39355,3.36774,2.24196,
W[67],0.624192,0.769784,0.514945,0.592052,0.261405,0.552476,0.16737,
W[68],1.0736,-0.0605034,1.57503,1.16362,1.04976,0.960301,0.544448,
W[69],1.90858,3.10169,2.66931,2.09385,2.37105,2.4289,0.423505,
W[70],-1.88091,0.139408,0.160534,0.84329,0.969694,0.0464024,1.02213,
W[71],-0.887351,-0.177271,-0.0768681,0.760259,1.48257,0.220267,0.819529,
W[72],-1.74066,-1.18441,-0.122245,-0.516871,-0.616831,-0.836203,0.565529,
W[73],-0.13131,-0.639661,-0.686334,-0.68122,-0.75242,-0.578189,0.226339,
W[74],-0.460902,-0.495912,0.0640076,-0.647728,-0.126524,-0.333412,0.26161,
W[75],-1.2419,-2.14004,-3.15494,-0.276753,-2.45106,-1.85294,0.99931,
W[76],2.46175,3.66245,4.1242,3.06401,3.63208,3.3889,0.572674,
W[77],-0.037006,-0.512227,1.2601,0.636367,0.346365,0.33872,0.60048,
W[78],-2.58539,-1.82083,-2.76891,-2.11352,-2.56264,-2.37026,0.349286,
W[79],-0.240484,-0.870151,0.573843,-0.173476,0.889803,0.0359069,0.626049,
W[80],0.169075,0.249171,0.0448813,0.293577,0.0433505,0.160011,0.1027,
W[81],-0.726082,-1.72952,-1.60937,-1.17787,-1.51401,-1.35137,0.362518,
W[82],1.21455,0.338507,1.15329,1.57926,0.830418,1.02321,0.416823,
W[83],0.255996,0.660073,-1.22591,-0.0406755,0.117699,-0.0465641,0.633839,
W[84],2.15756,2.68982,1.82667,3.57643,1.24879,2.29985,0.79128,
W[85],-0.482503,-2.25363,-0.5901,-0.691627,-0.0583429,-0.815241,0.750805,
W[86],1.46073,0.554326,1.20292,1.43172,-0.118542,0.90623,0.607557,
W[87],0.320427,0.427905,0.887936,0.183924,-0.212961,0.321446,0.356861,
W[88],1.11465,1.51614,1.70252,1.40915,1.63293,1.47508,0.206198,
W[89],0.786534,0.959782,0.495029,1.39228,-0.992813,0.528162,0.814152,
W[90],-1.51338,-1.2095,-1.60988,-2.96636,-1.63956,-1.78774,0.608667,
W[91],3.87698,3.69711,4.49433,4.77457,4.09086,4.18677,0.396242,
W[92],0.322688,-0.929541,0.190121,0.777049,-1.12909,-0.153755,0.743609,
W[93],2.57286,0.354166,0.887308,1.14596,0.398881,1.07184,0.807532,
W[94],0.941646,0.469378,1.51723,0.601069,0.961821,0.898229,0.363678,
W[95],-0.145369,0.279841,-0.830446,-0.753066,0.0670177,-0.276405,0.442422,
W[96],1.75365,0.185667,0.754881,0.865235,-0.0506308,0.70176,0.627448,
W[97],1.22527,1.90019,1.96859,1.363,0.468681,1.38515,0.542518,
W[98],-1.43484,-1.80562,-2.47541,-2.04788,-2.54142,-2.06104,0.41473,
W[99],1.41736,-0.951116,-1.00855,-1.65042,-0.180202,-0.474585,1.0546,
W[100],-0.3312,-0.668994,-0.471043,-0.711672,-0.554982,-0.547578,0.137405,
