,1,2,3,4,5,E,SD,
RMSE,27.5232,26.0382,28.3062,28.3583,29.9384,28.0329,1.26892,
R^2,0.406372,0.383769,0.384487,0.391289,0.310793,0.375342,0.0332818,
W[0],3.93894,4.07135,3.81084,3.61869,5.04655,4.09728,0.497585,
W[1],1.03845,0.0701468,1.02679,0.0655405,0.999441,0.640074,0.467398,
W[2],-0.174825,-0.230555,0.00496457,-1.08734,-0.5896,-0.415472,0.387454,
W[3],-1.81818,-1.03992,-1.45776,-0.338109,-1.54335,-1.23946,0.515204,
W[4],-0.434208,-0.621172,-0.318362,-0.266392,-0.234131,-0.374853,0.14068,
W[5],0.155019,0.329853,0.274363,0.406857,0.241868,0.281592,0.0844646,
W[6],0.362778,0.425204,0.108118,0.420767,0.0568694,0.274747,0.159339,
W[7],-0.703565,-0.493119,-0.0435592,-1.29961,-0.187343,-0.545439,0.441956,
W[8],0.468513,0.197646,0.288749,0.199486,0.287319,0.288343,0.0985735,
W[9],-0.279534,-0.485993,-0.378294,0.279266,0.698089,-0.0332934,0.451046,
W[10],-0.626747,-0.540468,-0.435062,-0.586387,-0.475702,-0.532873,0.0700991,
W[11],-0.200806,-0.529232,-0.28776,-0.684951,-0.465552,-0.43366,0.172514,
W[12],-0.175272,-0.282112,-0.222304,-0.117619,-0.0945983,-0.178381,0.068426,
W[13],-0.373389,-0.218166,-0.121072,-0.0663034,-0.382218,-0.23223,0.128458,
W[14],-1.03099,-1.25796,-1.62486,0.0504649,-1.40746,-1.05416,0.585285,
W[15],1.35938,1.40247,1.20022,1.5058,1.04831,1.30324,0.161018,
W[16],2.5111,1.93261,2.28273,2.40948,2.23582,2.27435,0.196294,
W[17],-1.71645,-1.73395,-1.58289,-1.78257,-1.35893,-1.63496,0.153057,
W[18],0.0731057,-0.16417,-0.179166,0.0375474,-0.0890304,-0.0643426,0.102988,
W[19],-0.0604112,-0.0426716,-0.0368656,-0.0281445,-0.104183,-0.0544552,0.0270143,
W[20],2.19032,1.44964,0.996683,1.20864,0.868411,1.34274,0.467448,
W[21],1.66454,1.20782,2.46053,1.74666,1.46059,1.70803,0.41978,
W[22],1.77414,1.48632,1.16969,2.21891,2.00656,1.73113,0.371694,
W[23],-0.3409,0.969272,-0.0972935,0.133069,-0.813518,-0.0298741,0.589953,
W[24],1.82899,0.944936,0.581328,0.606458,0.738053,0.939953,0.462818,
W[25],0.180599,-0.499915,-0.368733,-0.079192,-0.372665,-0.227981,0.246483,
W[26],-0.413359,-0.526226,-0.39715,0.140184,0.785878,-0.0821345,0.491738,
W[27],1.06978,1.69074,1.85453,2.20609,1.12476,1.58918,0.435147,
W[28],1.95871,0.774236,0.741304,1.78122,0.330486,1.11719,0.636695,
W[29],-0.0137601,0.736697,0.748036,0.00877524,0.818619,0.459674,0.378467,
W[30],0.0238631,-0.351298,0.930645,0.0147152,0.920093,0.307604,0.522258,
W[31],-1.08702,-0.329088,-0.933892,-0.771535,0.498967,-0.524514,0.571092,
W[32],0.960445,0.823707,-0.136777,0.524081,0.269525,0.488196,0.393772,
W[33],-0.377659,-0.398904,-0.116788,0.2121,0.808372,0.0254244,0.44958,
W[34],-0.518574,-0.643942,0.916408,-0.190925,-0.0291678,-0.0932402,0.550857,
W[35],-0.587199,-1.18011,0.182301,0.193737,-0.352655,-0.348784,0.514652,
W[36],-0.600326,0.509853,-1.4737,0.847473,0.622363,-0.0188667,0.88271,
W[37],-0.182847,-1.08765,-0.385321,0.411284,-0.025083,-0.253923,0.492399,
W[38],-0.128389,-0.339862,-0.434596,-0.270003,-0.162128,-0.266996,0.112798,
W[39],0.555533,0.4537,1.27273,0.470741,0.972214,0.744984,0.324375,
W[40],-0.501795,-0.383696,0.472253,0.509544,0.474037,0.114069,0.456362,
W[41],0.474384,0.955138,1.07897,0.654522,1.08178,0.848959,0.243515,
W[42],0.707895,1.43143,1.23985,1.50497,1.78129,1.33308,0.357674,
W[43],3.54641,2.03266,2.36577,3.3489,3.35361,2.92947,0.609665,
W[44],0.570166,0.674066,0.634435,0.663164,1.10914,0.730194,0.192884,
W[45],1.414,0.976363,1.2501,0.352943,0.769171,0.952516,0.37288,
W[46],-0.487151,0.7335,0.427133,0.313545,0.20759,0.238923,0.403426,
W[47],0.909296,0.620705,1.2929,1.07168,-0.412619,0.696392,0.596258,
W[48],0.918912,0.38431,0.232976,0.264875,0.0668004,0.373575,0.29093,
W[49],0.311205,1.38875,0.653193,0.363159,1.02922,0.749105,0.409272,
W[50],-0.412377,-0.694196,-0.0384256,-0.277207,-0.167028,-0.317847,0.224966,
W[51],0.154696,-1.24576,-1.15595,-0.0686207,0.0408179,-0.454964,0.613757,
W[52],0.0527323,-0.0346053,-0.512865,-0.554467,-0.0460697,-0.219055,0.259476,
W[53],-0.183001,0.191874,0.29483,0.182469,-0.0862834,0.0799776,0.182202,
W[54],0.0577113,-0.555052,0.0202436,0.293202,-0.0171263,-0.0402043,0.279285,
W[55],0.671255,1.11211,0.31948,-0.301376,0.131415,0.386577,0.479652,
W[56],0.435058,0.94638,-0.392083,0.29193,0.637778,0.383813,0.445884,
W[57],0.443002,-0.020043,0.410919,0.506245,0.0867651,0.285378,0.210769,
W[58],-0.0921397,0.81123,0.00832898,-0.768154,-0.0648007,-0.0211071,0.501734,
